,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
1241,Ultra Lotto 6/58,6 06 2023,"213,655,359.60",0,8,30,14,9,54,39
1242,Superlotto 6/49,6 06 2023,"15,840,000.00",0,44,35,43,11,18,14
1243,Lotto 6/42,6 06 2023,"5,940,000.00",0,24,30,25,3,15,4
1251,Grand Lotto 6/55,5 06 2023,"29,700,000.00",1,11,17,28,6,9,1
1252,Megalotto 6/45,5 06 2023,"8,910,000.00",1,22,8,20,2,1,45
1260,Ultra Lotto 6/58,4 06 2023,"202,796,480.80",0,31,4,52,54,10,56
1261,Superlotto 6/49,4 06 2023,"15,840,000.00",0,31,13,24,33,9,26
1268,Grand Lotto 6/55,3 06 2023,"29,700,000.00",0,4,13,51,37,34,1
1269,Lotto 6/42,3 06 2023,"42,751,862.80",2,10,3,12,20,7,28
1277,Ultra Lotto 6/58,2 06 2023,"193,037,324.80",0,48,45,36,39,13,38
1278,Megalotto 6/45,2 06 2023,"41,256,521.60",1,25,15,5,11,9,3
1286,Superlotto 6/49,1 06 2023,"58,995,238.20",1,14,22,27,40,45,41
1287,Lotto 6/42,1 06 2023,"37,029,943.00",0,26,6,37,29,23,40
1295,Grand Lotto 6/55,31 05 2023,"29,700,000.00",0,2,39,53,49,27,55
1296,Megalotto 6/45,31 05 2023,"36,212,700.80",0,3,17,35,20,23,16
1304,Ultra Lotto 6/58,30 05 2023,"182,881,860.80",0,46,49,31,54,19,47
1305,Superlotto 6/49,30 05 2023,"53,829,932.80",0,25,22,46,28,36,31
1306,Lotto 6/42,30 05 2023,"32,169,509.20",0,39,15,8,7,19,27
1314,Grand Lotto 6/55,29 05 2023,"29,700,000.00",0,48,24,47,39,33,15
1315,Megalotto 6/45,29 05 2023,"31,074,476.20",0,13,41,28,22,40,37
