LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS
Lotto 6/42,33-34-24-04-11-05,9/19/2023,18121104.20,0
6D Lotto,0-4-1-7-6-6,9/19/2023,654938.00,1
3D Lotto 2PM,8-0-9,9/19/2023,4500.00,420
3D Lotto 5PM,2 05 2006,9/19/2023,4500.00,263
3D Lotto 9PM,7 02 2004,9/19/2023,4500.00,454
2D Lotto 2PM,18 Sep,9/19/2023,4000.00,302
2D Lotto 5PM,18 Mar,9/19/2023,4000.00,112
2D Lotto 9PM,25-19,9/19/2023,4000.00,285
Grand Lotto 6/55,09-02-26-49-22-30,9/18/2023,29700000.00,0
Megalotto 6/45,37-26-05-16-21-24,9/18/2023,28687710.80,0
4D Lotto,1-4-5-0,9/18/2023,30055.00,26
3D Lotto 2PM,7 05 2004,9/18/2023,4500.00,156
3D Lotto 5PM,3 09 2006,9/18/2023,4500.00,179
3D Lotto 9PM,6 01 2005,9/18/2023,4500.00,530
2D Lotto 2PM,28-30,9/18/2023,4000.00,176
2D Lotto 5PM,17-26,9/18/2023,4000.00,129
2D Lotto 9PM,25-31,9/18/2023,4000.00,180
Ultra Lotto 6/58,27-16-21-31-56-01,9/17/2023,72922751.00,0
Superlotto 6/49,26-03-46-34-15-20,9/17/2023,58557629.80,0
3D Lotto 2PM,1 07 2007,9/17/2023,4500.00,468
3D Lotto 5PM,3 01 2000,9/17/2023,4500.00,319
3D Lotto 9PM,3 07 2003,9/17/2023,4500.00,288
2D Lotto 2PM,26 Jan,9/17/2023,4000.00,123
2D Lotto 5PM,May 15,9/17/2023,4000.00,313
2D Lotto 9PM,25-15,9/17/2023,4000.00,236
Grand Lotto 6/55,09-27-44-49-11-24,9/16/2023,29700000.00,0
Lotto 6/42,30-39-04-32-42-29,9/16/2023,14713518.60,0
6D Lotto,3-5-6-5-9-1,9/16/2023,604938.60,0
3D Lotto 2PM,2 08 2006,9/16/2023,4500.00,271
3D Lotto 5PM,0-4-8,9/16/2023,4500.00,198
3D Lotto 9PM,8 08 2002,9/16/2023,4500.00,525
2D Lotto 2PM,Mar 17,9/16/2023,4000.00,286
2D Lotto 5PM,28-31,9/16/2023,4000.00,51
2D Lotto 9PM,21-17,9/16/2023,4000.00,403
Ultra Lotto 6/58,28-41-25-29-54-37,9/15/2023,68037849.40,0
Megalotto 6/45,25-44-18-41-11-31,9/15/2023,24107633.40,0
4D Lotto,9-5-1-4,9/15/2023,19776.00,33
3D Lotto 2PM,2 07 2003,9/15/2023,4500.00,280
3D Lotto 5PM,5 05 2003,9/15/2023,4500.00,252
3D Lotto 9PM,2 03 2005,9/15/2023,4500.00,791
2D Lotto 2PM,19-15,9/15/2023,4000.00,266
2D Lotto 5PM,22-22,9/15/2023,4000.00,346
2D Lotto 9PM,21 Nov,9/15/2023,4000.00,286
Superlotto 6/49,30-33-46-26-42-38,9/14/2023,53305892.60,0
Lotto 6/42,06-27-03-13-35-04,9/14/2023,10586627.00,0
6D Lotto,1-9-7-3-2-3,9/14/2023,150000.00,2
3D Lotto 2PM,8 04 2005,9/14/2023,4500.00,148
3D Lotto 5PM,9 06 2007,9/14/2023,4500.00,148
3D Lotto 9PM,9 07 2005,9/14/2023,4500.00,750
2D Lotto 2PM,16 Dec,9/14/2023,4000.00,292
2D Lotto 5PM,11 Feb,9/14/2023,4000.00,180
2D Lotto 9PM,20-31,9/14/2023,4000.00,101
Grand Lotto 6/55,45-23-11-13-46-04,9/13/2023,29700000.00,0
Megalotto 6/45,12-41-30-22-43-24,9/13/2023,19693106.00,0
4D Lotto,3-9-4-7,9/13/2023,36578.00,24
3D Lotto 2PM,1-0-4,9/13/2023,4500.00,455
3D Lotto 5PM,3 03 2009,9/13/2023,4500.00,217
3D Lotto 9PM,9 08 2001,9/13/2023,4500.00,604
2D Lotto 2PM,14-26,9/13/2023,4000.00,250
2D Lotto 5PM,25-31,9/13/2023,4000.00,72
2D Lotto 9PM,Oct 28,9/13/2023,4000.00,666
Ultra Lotto 6/58,09-46-08-53-30-47,9 12 2023,62389446.40,0
Superlotto 6/49,36-23-31-09-12-29,9 12 2023,47666758.80,0
Lotto 6/42,17-14-03-26-33-05,9 12 2023,7058280.20,0
6D Lotto,1-7-6-1-5-6,9 12 2023,269602.00,3
3D Lotto 2PM,4 03 2007,9 12 2023,4500.00,224
3D Lotto 5PM,4-0-1,9 12 2023,4500.00,256
3D Lotto 9PM,7-0-9,9 12 2023,4500.00,382
2D Lotto 2PM,27 Dec,9 12 2023,4000.00,226
2D Lotto 5PM,22-20,9 12 2023,4000.00,63
2D Lotto 9PM,Sep 26,9 12 2023,4000.00,806
Grand Lotto 6/55,31-54-29-52-24-12,9 11 2023,29700000.00,0
Megalotto 6/45,23-01-05-10-20-06,9 11 2023,15456826.60,0
4D Lotto,3-5-3-4,9 11 2023,121122.00,8
3D Lotto 2PM,4 06 2005,9 11 2023,4500.00,244
3D Lotto 5PM,2 08 2001,9 11 2023,4500.00,262
3D Lotto 9PM,6 09 2002,9 11 2023,4500.00,173
2D Lotto 2PM,7 Feb,9 11 2023,4000.00,269
2D Lotto 5PM,Jan 20,9 11 2023,4000.00,179
2D Lotto 9PM,16-27,9 11 2023,4000.00,352
Ultra Lotto 6/58,58-02-15-35-28-12,9 10 2023,58002406.00,0
Superlotto 6/49,42-01-22-44-15-03,9 10 2023,43302652.40,0
3D Lotto 2PM,0-3-3,9 10 2023,4500.00,182
3D Lotto 5PM,4 05 2002,9 10 2023,4500.00,259
3D Lotto 9PM,8-0-7,9 10 2023,4500.00,416
2D Lotto 2PM,Jun 15,9 10 2023,4000.00,261
2D Lotto 5PM,30 Aug,9 10 2023,4000.00,135
2D Lotto 9PM,12 Jul,9 10 2023,4000.00,341
Grand Lotto 6/55,42-32-54-44-11-39,9 09 2023,29700000.00,0
Lotto 6/42,19-11-09-03-41-35,9 09 2023,5940000.00,0
6D Lotto,2-0-8-0-3-2,9 09 2023,453162.60,0
3D Lotto 2PM,2 01 2000,9 09 2023,4500.00,384
3D Lotto 5PM,1 06 2008,9 09 2023,4500.00,503
3D Lotto 9PM,5 09 2002,9 09 2023,4500.00,465
2D Lotto 2PM,27 Oct,9 09 2023,4000.00,276
2D Lotto 5PM,25 Sep,9 09 2023,4000.00,282
2D Lotto 9PM,19-20,9 09 2023,4000.00,321
Ultra Lotto 6/58,40-52-03-54-14-35,9 08 2023,53095488.80,0
Megalotto 6/45,33-17-04-43-15-38,9 08 2023,11286958.60,0
4D Lotto,6-1-6-8,9 08 2023,23193.00,37
3D Lotto 2PM,3 08 2009,9 08 2023,4500.00,609
3D Lotto 5PM,8 08 2003,9 08 2023,4500.00,221
3D Lotto 9PM,9 09 2009,9 08 2023,4500.00,1088
2D Lotto 2PM,31-24,9 08 2023,4000.00,146
2D Lotto 5PM,12 Jun,9 08 2023,4000.00,153
2D Lotto 9PM,May 23,9 08 2023,4000.00,661
Superlotto 6/49,06-15-20-38-43-07,9 07 2023,38205605.00,0
Lotto 6/42,03-31-15-19-10-27,9 07 2023,36257127.40,1
6D Lotto,3-9-1-8-4-9,9 07 2023,1385189.00,1
3D Lotto 2PM,2 06 2009,9 07 2023,4500.00,277
3D Lotto 5PM,6-0-1,9 07 2023,4500.00,193
3D Lotto 9PM,6 03 2001,9 07 2023,4500.00,879
2D Lotto 2PM,Jul 23,9 07 2023,4000.00,286
2D Lotto 5PM,23 Aug,9 07 2023,4000.00,293
2D Lotto 9PM,3 May,9 07 2023,4000.00,579
Grand Lotto 6/55,50-48-02-55-46-09,9 06 2023,29700000.00,0
Megalotto 6/45,12-33-32-08-42-23,9 06 2023,8910000.00,0
4D Lotto,1-4-8-7,9 06 2023,40143.00,25
3D Lotto 2PM,5 08 2002,9 06 2023,4500.00,225
3D Lotto 5PM,9 03 2002,9 06 2023,4500.00,358
3D Lotto 9PM,3 09 2000,9 06 2023,4500.00,278
2D Lotto 2PM,22-21,9 06 2023,4000.00,282
2D Lotto 5PM,6 May,9 06 2023,4000.00,265
2D Lotto 9PM,22-21,9 06 2023,4000.00,88
